Country,Job Title,Age Group,Quantity,Percentage
Poland,Database Management System Specialist (DBMS Specialist),30-49,3,0.03%
France,Databases Software Consultant,30-49,3,0.03%
France,Databases Computer Consultant,30-49,3,0.03%
France,Database Specialist,30-49,3,0.03%
Italy,Database Design Analyst,50-69,3,0.03%
Greece,Data Warehousing Engineer,50-69,3,0.03%
France,Database Marketing Analyst,30-49,3,0.03%
France,Database Engineer,30-49,3,0.03%
Spain,Automatic Data Processing Customer Liaison (ADP Customer Liaison),30-49,3,0.03%
Poland,Database Manager,30-49,3,0.03%
Italy,Database Development and Administration Project Manager,30-49,3,0.03%
France,Database Design Analyst,50-69,3,0.03%
France,Database Design Analyst,18-29,3,0.03%
Poland,Data Management Information Technology Specialist,30-49,3,0.03%
Italy,Database Engineer,30-49,3,0.03%
France,Database Architect,18-29,3,0.03%
Spain,Micro Computer Data Processor,50-69,3,0.03%
Romania,Data Storage Specialist,30-49,3,0.03%
Italy,Database Management System Specialist (DBMS Specialist),30-49,3,0.03%
Spain,Computer or Data Processing Systems Consultant,30-49,3,0.03%
Italy,Database Administration Manager,30-49,3,0.03%
Germany,Data Base Design Analyst,30-49,3,0.03%
Czechia,Database Engineer,30-49,3,0.03%
Netherlands,Data Warehouse Analyst,50-69,3,0.03%
Germany,Data Architect,30-49,3,0.03%
Germany,Data Warehousing Specialist,30-49,3,0.03%
Romania,Data Architect,30-49,3,0.03%
Greece,Data Miner,50-69,3,0.03%
Italy,Data Typist,50-69,3,0.03%
Greece,Data Officer,50-69,3,0.03%
Germany,Automatic Data Processing Systems Security Specialist (ADP Systems Security),18-29,3,0.03%
Germany,Automatic Data Processing Planner,50-69,3,0.03%
Germany,Automatic Data Processing Customer Liaison (ADP Customer Liaison),50-69,3,0.03%
France,Geographic Information Systems Data Administrator (GIS Data Administrator),30-49,3,0.03%
Germany,Automatic Data Processing Customer Liaison (ADP Customer Liaison),18-29,3,0.03%
Italy,Data Warehouse Developer,30-49,3,0.03%
Czechia,Database Software Technician,50-69,3,0.03%
Italy,Database Administration Associate,30-49,3,0.03%
France,Log Data Technician,50-69,3,0.03%
Italy,Database Administration Associate,50-69,3,0.03%
France,Geographic Information Systems Data Specialist (GIS Data Specialist),30-49,3,0.03%
Czechia,Director of Data Operations,50-69,3,0.03%
Italy,Database Administration Manager,18-29,3,0.03%
Italy,Data Storage Specialist,30-49,3,0.03%
Germany,Database Software Technician,50-69,3,0.03%
Netherlands,Database Marketing Analyst,50-69,3,0.03%
Great Britain,Data Security Administrator,50-69,3,0.03%
Bulgaria,Data Warehouse Specialist,30-49,3,0.03%
Poland,SQL Database Administrator,30-49,3,0.03%
Great Britain,Data Warehousing Manager,18-29,3,0.03%
Great Britain,Data Warehouse Specialist,30-49,3,0.03%
Great Britain,Data Warehouse Developer,30-49,3,0.03%
Hungary,SQL Database Administrator,30-49,3,0.03%
Great Britain,Data Typist,50-69,3,0.03%
Spain,Database Development and Administration Project Manager,18-29,3,0.03%
Great Britain,Data Security Analyst,30-49,3,0.03%
Great Britain,Data Scientist,50-69,3,0.03%
Great Britain,Data Miner,50-69,3,0.03%
Great Britain,Geographic Information Systems Data Administrator (GIS Data Administrator),50-69,3,0.03%
Great Britain,Data Processor,50-69,3,0.03%
Poland,Geographic Information Systems Data Manager (GIS Data Manager),50-69,3,0.03%
Portugal,Automatic Data Processing Systems Security Specialist (ADP Systems Security),50-69,3,0.03%
Great Britain,Data Processing Systems Project Planner,50-69,3,0.03%
Sweden,Automatic Data Processing Planner,50-69,3,0.03%
Portugal,Data Administrator,50-69,3,0.03%
Great Britain,Data Operations Director,50-69,3,0.03%
Great Britain,Data Officer,30-49,3,0.03%
Great Britain,Database Administration Manager,50-69,3,0.03%
Spain,Database Security Expert,30-49,3,0.03%
Spain,Database Software Technician,50-69,3,0.03%
Poland,Oracle Database Administrator (Oracle DBA),50-69,3,0.03%
Spain,Electronic Data Processing Auditor (EDP Auditor),50-69,3,0.03%
Great Britain,Director of Data Operations,50-69,3,0.03%
Spain,Weight in Motion Field Data Collection Technician,30-49,3,0.03%
Great Britain,Databases Software Consultant,50-69,3,0.03%
Spain,Electronic Data Processing Auditor (EDP Auditor),30-49,3,0.03%
Spain,Electronic Data Interchange System Developer (EDI System Developer),50-69,3,0.03%
Poland,Data Architect,50-69,3,0.03%
Great Britain,Database Specialist,50-69,3,0.03%
Spain,Director of Data Operations,50-69,3,0.03%
Great Britain,Database Security Expert,30-49,3,0.03%
Spain,Databases Software Consultant,30-49,3,0.03%
Poland,Data Administrator,50-69,3,0.03%
Great Britain,Database Engineer,18-29,3,0.03%
Bulgaria,Data Processing Manager,50-69,3,0.03%
Poland,Oracle Database Administrator (Oracle DBA),30-49,3,0.03%
Great Britain,Database Designer,30-49,3,0.03%
Great Britain,Database Designer,18-29,3,0.03%
Great Britain,Database Design Analyst,30-49,3,0.03%
Spain,Database Specialist,30-49,3,0.03%
Bulgaria,Head of Information Systems and Data Processing,50-69,3,0.03%
Bulgaria,Internet Database Specialist,50-69,3,0.03%
Germany,Database Coordinator,30-49,3,0.03%
Hungary,Geographic Information Systems Data Manager (GIS Data Manager),50-69,3,0.03%
Great Britain,Oracle Database Administrator (Oracle DBA),30-49,3,0.03%
Spain,Data Systems Manager,30-49,3,0.03%
Germany,Geographic Information Systems Data Specialist (GIS Data Specialist),18-29,3,0.03%
Germany,Geographic Information Systems Data Manager (GIS Data Manager),30-49,3,0.03%
Germany,Geographic Information Systems Data Administrator (GIS Data Administrator),30-49,3,0.03%
Spain,Data Storage Specialist,30-49,3,0.03%
Netherlands,Electronic Data Processing Auditor (EDP Auditor),50-69,3,0.03%
Germany,Flight Data Technician,50-69,3,0.03%
Germany,"Engineer, System Electronic Data Processing (Engineer, System EDP)",30-49,3,0.03%
Spain,Data Security Administrator,30-49,3,0.03%
Portugal,Data Communications Software Consultant,50-69,3,0.03%
Spain,Geographic Information Systems Data Specialist (GIS Data Specialist),50-69,3,0.03%
Great Britain,SQL Database Administrator,18-29,3,0.03%
Germany,Databases Computer Consultant,50-69,3,0.03%
Great Britain,SQL Database Administrator,50-69,3,0.03%
Italy,Database Security Administrator,30-49,3,0.03%
Italy,Data Communications Software Consultant,50-69,3,0.03%
Germany,Database Security Administrator,50-69,3,0.03%
Germany,Database Modeler,30-49,3,0.03%
Spain,Data Processing Systems Analyst,30-49,3,0.03%
Spain,Data Warehouse Analyst,50-69,3,0.03%
Poland,Data Communications Software Consultant,50-69,3,0.03%
Portugal,Data Scientist,50-69,3,0.03%
Italy,Data Administrator,18-29,3,0.03%
Poland,Automatic Data Processing Customer Liaison (ADP Customer Liaison),18-29,3,0.03%
Belgium,Data Officer,30-49,3,0.03%
Poland,Geographic Information Systems Data Manager (GIS Data Manager),30-49,3,0.03%
Italy,Automatic Data Processing Customer Liaison (ADP Customer Liaison),30-49,3,0.03%
Great Britain,Head of Information Systems and Data Processing,30-49,3,0.03%
Great Britain,Data Base Design Analyst,30-49,3,0.03%
Great Britain,Data Architect,30-49,3,0.03%
Great Britain,Data Analyst,30-49,3,0.03%
Spain,Geographic Information Systems Data Administrator (GIS Data Administrator),30-49,3,0.03%
Great Britain,Internet Database Specialist,50-69,3,0.03%
Spain,Data Warehousing Specialist,50-69,3,0.03%
Poland,Geographic Information Systems Data Administrator (GIS Data Administrator),30-49,3,0.03%
Poland,Flight Data Technician,50-69,3,0.03%
Great Britain,Automatic Data Processing Planner (ADP Planner),50-69,3,0.03%
Poland,Data Collection Technician,50-69,3,0.03%
Spain,Data Warehousing Engineer,30-49,3,0.03%
Great Britain,Medical Data Analyst,50-69,3,0.03%
Netherlands,Internet Database Specialist,50-69,3,0.03%
Great Britain,Naval Tactical Data System--Combat Information Center Officer,50-69,3,0.03%
France,Data Warehousing Engineer,50-69,3,0.03%
Great Britain,Electronic Data Interchange System Developer (EDI System Developer),30-49,3,0.03%
France,Data Processing Systems Analyst,30-49,3,0.03%
France,Clinical Data Management Manager (CDM Manager),50-69,3,0.03%
France,Automatic Data Processing Planner,18-29,3,0.03%
France,Data Communications Analyst,30-49,3,0.03%
Romania,SQL Database Administrator,50-69,3,0.03%
Poland,Data Officer,50-69,3,0.03%
Poland,Data Modeling Specialist,30-49,3,0.03%
France,Automatic Data Processing Planner (ADP Planner),30-49,3,0.03%
Austria,Data Processing Auditor,18-29,3,0.03%
Poland,Data Systems Manager,30-49,3,0.03%
Poland,Data Storage Specialist,18-29,3,0.03%
Belgium,Database Engineer,50-69,3,0.03%
France,Business Database Analyst,50-69,3,0.03%
Italy,Head of Information Systems and Data Processing,50-69,3,0.03%
Poland,Data Security Analyst,30-49,3,0.03%
Slovakia,Database Manager,50-69,3,0.03%
Italy,Databases Computer Consultant,50-69,3,0.03%
Poland,Data Processing Auditor,30-49,3,0.03%
France,Data Security Administrator,30-49,3,0.03%
Hungary,Data Administrator,30-49,3,0.03%
Italy,Geographic Information Systems Data Manager (GIS Data Manager),50-69,3,0.03%
France,Data Communications Software Consultant,18-29,3,0.03%
France,Data Entry Representative,50-69,3,0.03%
Romania,Database Consultant,30-49,3,0.03%
France,Data Miner,18-29,3,0.03%
Denmark,Database Specialist,50-69,3,0.03%
Romania,Database Consultant,50-69,3,0.03%
Netherlands,Data Management Associate,50-69,3,0.03%
France,Data Modeling Specialist,18-29,3,0.03%
Netherlands,Automatic Data Processing Systems Security Specialist (ADP Systems Security),50-69,3,0.03%
Spain,Oracle Database Administrator (Oracle DBA),30-49,3,0.03%
France,Data Communications Technician,50-69,3,0.03%
Romania,Electronic Data Processing Auditor (EDP Auditor),50-69,3,0.03%
Poland,Data Officer,30-49,3,0.03%
France,Data Operations Director,18-29,3,0.03%
Hungary,Database Administration Associate,30-49,3,0.03%
Italy,Geographic Information Systems Data Administrator (GIS Data Administrator),50-69,3,0.03%
Romania,Head of Information Systems and Data Processing,50-69,3,0.03%
Romania,Database Engineer,50-69,3,0.03%
Poland,Data Security Administrator,50-69,3,0.03%
Poland,Data Processing Consultant,50-69,3,0.03%
Romania,Database Tester,30-49,3,0.03%
Poland,Data Warehouse Specialist,50-69,3,0.03%
Netherlands,Data Processing Equipment Repairer,50-69,3,0.03%
Poland,Data Management Information Technology Specialist,50-69,3,0.03%
France,Computer or Data Processing Systems Consultant,30-49,3,0.03%
Greece,Internet Database Specialist,50-69,3,0.03%
Hungary,Data Management Associate,50-69,3,0.03%
Slovakia,Data Scientist,50-69,3,0.03%
France,Data Administrator,50-69,3,0.03%
Greece,Database Coordinator,18-29,3,0.03%
Netherlands,Data Processing Manager,50-69,3,0.03%
Hungary,Data Miner,30-49,3,0.03%
France,Data Systems Manager,50-69,3,0.03%
Poland,Data Security Administrator,18-29,3,0.03%
France,Data Systems Manager,30-49,3,0.03%
Romania,Database Specialist,50-69,3,0.03%
Estonia,Unemployed,30-49,3,0.03%
Romania,Database Tester,50-69,3,0.03%
Poland,Field Artillery Automated Tactical Data System Specialist,18-29,2,0.02%
Poland,Director of Data Operations,18-29,2,0.02%
Germany,Voice and Data Technician,18-29,2,0.02%
Italy,Data Compiler,50-69,2,0.02%
Germany,Voice and Data Technician,30-49,2,0.02%
Romania,Databases Computer Consultant,18-29,2,0.02%
Italy,SQL Database Administrator,30-49,2,0.02%
Greece,SQL Database Administrator,30-49,2,0.02%
Italy,SCADA Technician (Supervisory Control and Data Acquisition Technician),50-69,2,0.02%
Sweden,Data Coder Operator,50-69,2,0.02%
Italy,Computer or Data Processing Systems Consultant,50-69,2,0.02%
France,Analytical Data Miner,50-69,2,0.02%
Netherlands,Geographic Information Systems Database Administrator (GIS Database Administrator),50-69,2,0.02%
Germany,SCADA Operator (Supervisory Control and Data Acquisition Operator),18-29,2,0.02%
Germany,Database Security Administrator,30-49,2,0.02%
Germany,Oracle Database Administrator (Oracle DBA),18-29,2,0.02%
Belgium,Data Scientist,18-29,2,0.02%
Netherlands,Data Administrator,30-49,2,0.02%
Germany,"Naval Tactical Data System--Combat Information Center Watch Officer, General",50-69,2,0.02%
Netherlands,Oracle Database Administrator (Oracle DBA),50-69,2,0.02%
Italy,Scientific Database Curator,50-69,2,0.02%
Italy,Clinical Data Management Manager (CDM Manager),30-49,2,0.02%
Great Britain,Internet Database Specialist,18-29,2,0.02%
Great Britain,Data Administrator,18-29,2,0.02%
Poland,Data Processing Auditor,18-29,2,0.02%
Italy,Automatic Data Processing Planner,30-49,2,0.02%
Spain,Database Administration Associate,18-29,2,0.02%
Great Britain,Head of Information Systems and Data Processing,18-29,2,0.02%
Great Britain,Data Acquisition Technician,30-49,2,0.02%
Finland,Geographic Information Systems Data Administrator (GIS Data Administrator),50-69,2,0.02%
Portugal,Data Officer,50-69,2,0.02%
Finland,Geographic Information Systems Data Specialist (GIS Data Specialist),50-69,2,0.02%
Great Britain,Computer or Data Processing Systems Consultant,18-29,2,0.02%
Sweden,Geographic Information Systems Database Administrator (GIS Database Administrator),50-69,2,0.02%
Netherlands,Database Security Expert,50-69,2,0.02%
Poland,Data Processing Auditor,50-69,2,0.02%
Great Britain,Marketing Database Analyst,30-49,2,0.02%
Spain,Data Warehousing Manager,50-69,2,0.02%
Hungary,Data Warehouse Specialist,18-29,2,0.02%
Netherlands,Database Software Technician,30-49,2,0.02%
Portugal,Data Processing Manager,30-49,2,0.02%
Great Britain,Automatic Data Processing Systems Security Specialist (ADP Systems Security),30-49,2,0.02%
Spain,Data Warehousing Manager,30-49,2,0.02%
Italy,Clinical Data Associate,30-49,2,0.02%
Great Britain,Automatic Data Processing Planner (ADP Planner),30-49,2,0.02%
Germany,Database Marketing Analyst,18-29,2,0.02%
Poland,Data Communications Software Consultant,30-49,2,0.02%
Germany,"Naval Tactical Data System--Combat Information Center Watch Officer, Carrier Controlled Approach Controller",30-49,2,0.02%
Spain,Data Processing Systems Project Planner,30-49,2,0.02%
Belgium,Data Architect,30-49,2,0.02%
Portugal,Data Security Analyst,50-69,2,0.02%
Belgium,Database Designer,30-49,2,0.02%
Croatia,Database Security Administrator,30-49,2,0.02%
Italy,Data Capture Clerk,50-69,2,0.02%
Italy,"Operations Officer, Afloat (Naval Tactical Data Systems)",50-69,2,0.02%
Greece,Micro Computer Data Processor,50-69,2,0.02%
Germany,Database Specialist,18-29,2,0.02%
Netherlands,Electronic Data Processing Auditor (EDP Auditor),18-29,2,0.02%
France,Clinical Data Analyst,50-69,2,0.02%
Portugal,Database Architect,50-69,2,0.02%
Italy,Data Coder Operator,30-49,2,0.02%
Romania,Director of Data Operations,50-69,2,0.02%
Portugal,Database Consultant,50-69,2,0.02%
Portugal,Database Coordinator,18-29,2,0.02%
Italy,Data Coder Operator,50-69,2,0.02%
Germany,"Engineer, System Electronic Data Processing (Engineer, System EDP)",18-29,2,0.02%
Romania,Director of Data Operations,30-49,2,0.02%
Spain,Data Security Analyst,18-29,2,0.02%
Germany,Database Tester,30-49,2,0.02%
Italy,"Naval Tactical Data System--Combat Information Center Watch Officer, General",50-69,2,0.02%
Romania,Databases Software Consultant,50-69,2,0.02%
Germany,Electronic Data Interchange System Developer (EDI System Developer),18-29,2,0.02%
Netherlands,Director of Data Operations,30-49,2,0.02%
Spain,Data Scientist,30-49,2,0.02%
Germany,Director of Data Operations,30-49,2,0.02%
Croatia,Geographic Information Systems Data Specialist (GIS Data Specialist),50-69,2,0.02%
Greece,"Naval Tactical Data System--Combat Information Center Watch Officer, General",50-69,2,0.02%
Sweden,Data Coordinator,50-69,2,0.02%
Spain,Data Reduction Technician,50-69,2,0.02%
France,Automatic Data Processing Systems Security Specialist (ADP Systems Security),30-49,2,0.02%
Denmark,Survey Data Technician,50-69,2,0.02%
Croatia,Database Modeler,50-69,2,0.02%
Belgium,Data Scientist,50-69,2,0.02%
Portugal,Data Security Analyst,30-49,2,0.02%
Germany,Datastage Developer,30-49,2,0.02%
Great Britain,"Naval Tactical Data System--Combat Information Center Watch Officer, General",30-49,2,0.02%
Germany,Marketing Database Analyst,50-69,2,0.02%
Netherlands,Field Artillery Automated Tactical Data System Specialist,50-69,2,0.02%
Great Britain,SQL Database Administrator,30-49,2,0.02%
Portugal,Database Manager,18-29,2,0.02%
Portugal,Data Warehouse Analyst,50-69,2,0.02%
Portugal,Data Warehouse Architect,50-69,2,0.02%
Greece,Oracle Database Administrator (Oracle DBA),50-69,2,0.02%
Italy,Data Architect,30-49,2,0.02%
Germany,Internet Database Specialist,18-29,2,0.02%
Croatia,Data Systems Manager,50-69,2,0.02%
Italy,Oracle Database Administrator (Oracle DBA),50-69,2,0.02%
Germany,Head of Information Systems and Data Processing,18-29,2,0.02%
Netherlands,"Engineer, System Electronic Data Processing (Engineer, System EDP)",30-49,2,0.02%
Italy,Data Communications Software Consultant,30-49,2,0.02%
Spain,Data Transcriber,50-69,2,0.02%
Spain,Data Reduction Technician,30-49,2,0.02%
France,Clinical Trials Data Coordinator,50-69,2,0.02%
Spain,Data Technician,50-69,2,0.02%
Poland,Data Warehouse Developer,18-29,2,0.02%
Denmark,Oracle Database Administrator (Oracle DBA),50-69,2,0.02%
Spain,Data Storage Specialist,50-69,2,0.02%
France,Data Warehouse Architect,30-49,2,0.02%
Portugal,Data Management Associate,50-69,2,0.02%
Great Britain,Data Analysis Assistant,50-69,2,0.02%
Poland,Data Base Design Analyst,50-69,2,0.02%
Poland,Head of Information Systems and Data Processing,50-69,2,0.02%
Slovakia,Automatic Data Processing Systems Security Specialist (ADP Systems Security),30-49,2,0.02%
Bulgaria,Data Warehouse Developer,50-69,2,0.02%
Great Britain,Database Administration Associate,30-49,2,0.02%
Bulgaria,Data Warehouse Architect,30-49,2,0.02%
Great Britain,Database Administration Project Manager,50-69,2,0.02%
Ireland,Data Processing Consultant,50-69,2,0.02%
Belgium,Data Warehousing Manager,50-69,2,0.02%
Great Britain,Database Analyst,50-69,2,0.02%
Latvia,Unemployed,50-69,2,0.02%
Great Britain,Database Architect,18-29,2,0.02%
Great Britain,Database Architect,30-49,2,0.02%
Finland,Data Processing Auditor,18-29,2,0.02%
Slovakia,Computer or Data Processing Systems Consultant,30-49,2,0.02%
Poland,Data Specialist,30-49,2,0.02%
Belgium,Database Administration Associate,50-69,2,0.02%
Spain,Database Administration Manager,30-49,2,0.02%
Spain,"Engineer, System Electronic Data Processing (Engineer, System EDP)",30-49,2,0.02%
Poland,Geographic Information Systems Data Specialist (GIS Data Specialist),18-29,2,0.02%
Spain,Database Development Project Manager,30-49,2,0.02%
Great Britain,Data Storage Specialist,30-49,2,0.02%
Great Britain,Data Systems Manager,30-49,2,0.02%
Latvia,Data Warehousing Engineer,30-49,2,0.02%
Luxembourg,Unemployed,18-29,2,0.02%
Poland,Data Systems Manager,50-69,2,0.02%
Great Britain,Data Warehousing Engineer,50-69,2,0.02%
Bulgaria,Database Administration Associate,30-49,2,0.02%
Sweden,Automatic Data Processing Customer Liaison (ADP Customer Liaison),50-69,2,0.02%
Poland,SQL Database Administrator,18-29,2,0.02%
Bulgaria,Data Warehousing Specialist,50-69,2,0.02%
Spain,Database Modeler,50-69,2,0.02%
Great Britain,Data Warehousing Engineer,30-49,2,0.02%
Ireland,Data Processing Auditor,50-69,2,0.02%
Great Britain,Database Coordinator,30-49,2,0.02%
Belgium,Data Warehouse Specialist,30-49,2,0.02%
Hungary,Data Processing Services Sales Representative,50-69,2,0.02%
Poland,Data Sciences Director,30-49,2,0.02%
Poland,Data Processing Systems Analyst,18-29,2,0.02%
Poland,Data Administrator,30-49,2,0.02%
Poland,LiDAR Data Analyst,50-69,2,0.02%
Great Britain,Database Software Technician,50-69,2,0.02%
Slovakia,Data Processing Auditor,18-29,2,0.02%
Hungary,Data Miner,18-29,2,0.02%
Finland,Data Officer,50-69,2,0.02%
Great Britain,Electronic Data Processing Auditor (EDP Auditor),50-69,2,0.02%
Hungary,Data Modeling Specialist,30-49,2,0.02%
Poland,Marketing Database Analyst,30-49,2,0.02%
Slovakia,Data Processing Systems Project Planner,50-69,2,0.02%
Poland,Data Processing Systems Analyst,50-69,2,0.02%
Great Britain,Director of Data Operations,30-49,2,0.02%
Poland,Data Administrator,18-29,2,0.02%
Great Britain,Database Modeler,30-49,2,0.02%
Poland,Data Scientist,50-69,2,0.02%
Spain,"Engineer, System Electronic Data Processing (Engineer, System EDP)",18-29,2,0.02%
Slovakia,Data Management Associate,18-29,2,0.02%
Great Britain,Database Manager,30-49,2,0.02%
Great Britain,"Engineer, System Electronic Data Processing (Engineer, System EDP)",30-49,2,0.02%
Great Britain,Database Management System Specialist (DBMS Specialist),30-49,2,0.02%
Bulgaria,Data Processing Auditor,50-69,2,0.02%
Austria,Automatic Data Processing Planner,50-69,2,0.02%
Spain,Database Tester,50-69,2,0.02%
Poland,"Naval Tactical Data System--Combat Information Center Watch Officer, General",30-49,2,0.02%
Ireland,Data Management Associate,50-69,2,0.02%
Austria,Computer or Data Processing Systems Consultant,50-69,2,0.02%
Poland,Data Security Administrator,30-49,2,0.02%
Spain,Database Specialist,50-69,2,0.02%
Hungary,Data Coordinator,50-69,2,0.02%
Spain,Database Design Analyst,50-69,2,0.02%
Hungary,Data Processing Systems Analyst,50-69,2,0.02%
Spain,Database Design Analyst,30-49,2,0.02%
Ireland,Geographic Information Systems Database Administrator (GIS Database Administrator),30-49,2,0.02%
Romania,Geographic Information Systems Data Manager (GIS Data Manager),50-69,2,0.02%
Poland,Analytical Data Miner,50-69,2,0.02%
Bulgaria,"Naval Tactical Data System--Combat Information Center Watch Officer, Carrier Controlled Approach Controller",50-69,2,0.02%
Hungary,Internet Database Specialist,50-69,2,0.02%
Poland,Data Capture Specialist,50-69,2,0.02%
Great Britain,Data Examination Clerk,30-49,2,0.02%
Finland,Databases Computer Consultant,50-69,2,0.02%
Portugal,Data Capture Clerk,50-69,2,0.02%
Finland,Database Tester,30-49,2,0.02%
Portugal,Data Communications Analyst,30-49,2,0.02%
Great Britain,Data Management Associate,18-29,2,0.02%
Great Britain,Data Management Associate,50-69,2,0.02%
Poland,Automatic Data Processing Planner,18-29,2,0.02%
Great Britain,Data Management Information Technology Specialist,30-49,2,0.02%
Great Britain,Data Entry Associate,50-69,2,0.02%
Spain,Flight Test Data Acquisition Technician,18-29,2,0.02%
Bulgaria,SQL Database Administrator,30-49,2,0.02%
Belgium,Data Management Information Technology Specialist,50-69,2,0.02%
Great Britain,Data Compiler,30-49,2,0.02%
Great Britain,Data Communications Software Consultant,30-49,2,0.02%
Poland,Geographic Information Systems Data Administrator (GIS Data Administrator),50-69,2,0.02%
Germany,Database Management System Specialist (DBMS Specialist),18-29,2,0.02%
Great Britain,Data Communications Analyst,50-69,2,0.02%
Great Britain,Data Communications Analyst,30-49,2,0.02%
Poland,Data Warehouse Architect,50-69,2,0.02%
Sweden,Computer or Data Processing Systems Consultant,50-69,2,0.02%
Italy,Weight in Motion Field Data Collection Technician,50-69,2,0.02%
Great Britain,Data Base Design Analyst,50-69,2,0.02%
Poland,Data Processing Consultant,30-49,2,0.02%
Great Britain,Data Architect,18-29,2,0.02%
Italy,Voice and Data Technician,50-69,2,0.02%
Poland,Automatic Data Processing Planner,30-49,2,0.02%
Portugal,Data Base Design Analyst,50-69,2,0.02%
Bulgaria,Data Administrator,18-29,2,0.02%
Romania,Oracle Database Administrator (Oracle DBA),30-49,2,0.02%
Hungary,Data Storage Specialist,50-69,2,0.02%
Poland,Automatic Data Processing Systems Security Specialist (ADP Systems Security),18-29,2,0.02%
Great Britain,Geographic Information Systems Data Manager (GIS Data Manager),30-49,2,0.02%
Bulgaria,"Engineer, System Electronic Data Processing (Engineer, System EDP)",30-49,2,0.02%
Great Britain,Data Processing Systems Analyst,30-49,2,0.02%
Spain,Scientific Database Curator,50-69,2,0.02%
Poland,Data Processing Manager,30-49,2,0.02%
Portugal,Data Architect,30-49,2,0.02%
Great Britain,Data Processor,30-49,2,0.02%
Poland,Clinical Data Analyst,50-69,2,0.02%
Portugal,Automatic Data Processing Customer Liaison (ADP Customer Liaison),50-69,2,0.02%
Great Britain,Data Reviewer,30-49,2,0.02%
Finland,Database Administration Manager,50-69,2,0.02%
Ireland,Data Systems Manager,50-69,2,0.02%
Poland,Automatic Data Processing Planner (ADP Planner),30-49,2,0.02%
Great Britain,Geographic Information Systems Data Manager (GIS Data Manager),50-69,2,0.02%
Spain,Database Consultant,50-69,2,0.02%
Ireland,Database Tester,30-49,2,0.02%
Spain,Database Architect,30-49,2,0.02%
Portugal,Computer or Data Processing Systems Consultant,50-69,2,0.02%
Poland,Automatic Data Processing Planner,50-69,2,0.02%
Great Britain,Data Processing Auditor,30-49,2,0.02%
Bulgaria,Geographic Information Systems Data Specialist (GIS Data Specialist),30-49,2,0.02%
Portugal,Data Administrator,30-49,2,0.02%
Netherlands,Automatic Data Processing Customer Liaison (ADP Customer Liaison),50-69,2,0.02%
Netherlands,Automatic Data Processing Planner,50-69,2,0.02%
Bulgaria,Geographic Information Systems Data Specialist (GIS Data Specialist),50-69,2,0.02%
Bulgaria,Geographic Information Systems Database Administrator (GIS Database Administrator),50-69,2,0.02%
Hungary,Automatic Data Processing Planner (ADP Planner),50-69,2,0.02%
Great Britain,Data Modeler,50-69,2,0.02%
Romania,Head of Information Systems and Data Processing,30-49,2,0.02%
Cyprus,Unemployed,18-29,2,0.02%
Czechia,Automatic Data Processing Systems Security Specialist (ADP Systems Security),50-69,2,0.02%
Cyprus,Unemployed,30-49,2,0.02%
France,Data Processing Consultant,30-49,2,0.02%
Romania,Data Entry Technician,50-69,2,0.02%
France,SCADA Operator (Supervisory Control and Data Acquisition Operator),50-69,2,0.02%
Romania,Data Input Clerk,50-69,2,0.02%
France,Oracle Database Administrator (Oracle DBA),18-29,2,0.02%
Czechia,Database Security Expert,30-49,2,0.02%
Greece,Database Manager,30-49,2,0.02%
Romania,Data Management Associate,30-49,2,0.02%
Greece,Data Security Administrator,30-49,2,0.02%
Romania,Data Management Information Technology Specialist,30-49,2,0.02%
France,Medical Data Analyst,50-69,2,0.02%
Greece,Data Security Analyst,50-69,2,0.02%
Romania,Data Miner,50-69,2,0.02%
Poland,Database Architect,30-49,2,0.02%
Romania,Data Modeler,50-69,2,0.02%
France,Data Processing Consultant,50-69,2,0.02%
Poland,Database Consultant,18-29,2,0.02%
France,Internet Database Specialist,30-49,2,0.02%
Czechia,Database Tester,50-69,2,0.02%
France,Head of Information Systems and Data Processing,18-29,2,0.02%
Czechia,Databases Computer Consultant,50-69,2,0.02%
Sweden,Database Coordinator,50-69,2,0.02%
France,Geographic Information Systems Database Administrator (GIS Database Administrator),50-69,2,0.02%
France,Geographic Information Systems Database Administrator (GIS Database Administrator),18-29,2,0.02%
France,Geographic Information Systems Data Specialist (GIS Data Specialist),18-29,2,0.02%
Greece,Database Engineer,50-69,2,0.02%
France,Geographic Information Systems Data Manager (GIS Data Manager),30-49,2,0.02%
Romania,Database Administration Associate,30-49,2,0.02%
France,Geographic Information Systems Data Administrator (GIS Data Administrator),18-29,2,0.02%
Poland,Database Manager,50-69,2,0.02%
France,Field Traffic Data Technician,30-49,2,0.02%
Belgium,Database Tester,30-49,2,0.02%
Italy,Data Warehousing Engineer,30-49,2,0.02%
France,SQL Database Administrator,30-49,2,0.02%
Netherlands,Data Security Analyst,50-69,2,0.02%
Germany,Customer Data Technician,50-69,2,0.02%
Italy,Data Storage Specialist,18-29,2,0.02%
Germany,Computer or Data Processing Systems Consultant,18-29,2,0.02%
Belgium,Director of Data Operations,30-49,2,0.02%
Spain,Data Base Design Analyst,50-69,2,0.02%
Spain,Data Processing Supervisor,50-69,2,0.02%
Greece,Data Modeling Specialist,30-49,2,0.02%
Germany,Clinical Data Management Associate Director,50-69,2,0.02%
Sweden,Data Typist,50-69,2,0.02%
Italy,Data Warehouse Analyst,30-49,2,0.02%
Romania,Data Collection Technician,50-69,2,0.02%
