,vote,pro_args,con_args
2409,I would vote for it,"It increases appreciation for household work and volunteering | It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses | It reduces anxiety about financing basic needs",It might encourage people to stop working | It is against the principle of linking merit and reward
2410,I would probably vote for it,It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | Only the people who need it most should get something from the state | It might encourage people to stop working
2411,I would probably vote for it,It encourages financial independence and self-responsibility,It might encourage people to stop working
2412,I would vote for it,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit
2413,I would not vote,None of the above,None of the above
2414,I would vote for it,It increases appreciation for household work and volunteering,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
2415,I would probably vote for it,It reduces bureaucracy and administrative expenses | It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state
2416,I would vote for it,It creates more equality of opportunity,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
2417,I would probably vote for it,It encourages financial independence and self-responsibility,It is impossible to finance
2418,I would probably vote against it,It encourages financial independence and self-responsibility,Only the people who need it most should get something from the state
2419,I would vote for it,It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit
2420,I would probably vote for it,None of the above,Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit
2421,I would probably vote for it,"It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses | It encourages financial independence and self-responsibility",It might encourage people to stop working | It is impossible to finance | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state
2422,I would vote for it,"It creates more equality of opportunity | It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit
2423,I would vote for it,It reduces anxiety about financing basic needs | It creates more equality of opportunity | It reduces bureaucracy and administrative expenses,It increases dependence on the state | It is impossible to finance | It might encourage people to stop working
2424,I would probably vote for it,"It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering | It creates more equality of opportunity | It reduces bureaucracy and administrative expenses",It is impossible to finance | Only the people who need it most should get something from the state
2425,I would probably vote for it,It creates more equality of opportunity | It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working | Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit
2426,I would vote against it,None of the above,It might encourage people to stop working | Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state
2427,I would vote for it,It creates more equality of opportunity,Only the people who need it most should get something from the state
2428,I would vote for it,"It increases solidarity, because it is funded by everyone",Only the people who need it most should get something from the state
2429,I would probably vote for it,"It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs | It creates more equality of opportunity",It is impossible to finance | Only the people who need it most should get something from the state
2430,I would probably vote for it,It reduces anxiety about financing basic needs,It might encourage people to stop working
2431,I would vote for it,It encourages financial independence and self-responsibility,Only the people who need it most should get something from the state
2432,I would vote for it,It reduces anxiety about financing basic needs,It increases dependence on the state
2433,I would probably vote for it,It reduces anxiety about financing basic needs,It might encourage people to stop working
2434,I would vote for it,"It increases solidarity, because it is funded by everyone",It increases dependence on the state | Only the people who need it most should get something from the state | It is impossible to finance
2435,I would vote for it,"It creates more equality of opportunity | It increases solidarity, because it is funded by everyone",It might encourage people to stop working | It is impossible to finance
2436,I would probably vote against it,None of the above,It is against the principle of linking merit and reward | Only the people who need it most should get something from the state | It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It is impossible to finance
2437,I would not vote,None of the above,Only the people who need it most should get something from the state
2438,I would vote for it,"It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone",It is impossible to finance | It might encourage people to stop working
2439,I would probably vote against it,It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs,It might encourage people to stop working | It is against the principle of linking merit and reward | It is impossible to finance
2440,I would probably vote against it,None of the above,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit
2441,I would probably vote for it,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering",Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit
2442,I would vote for it,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It creates more equality of opportunity,It might encourage people to stop working | It is impossible to finance | It increases dependence on the state
2443,I would vote against it,None of the above,It increases dependence on the state | Only the people who need it most should get something from the state | It might encourage people to stop working
2444,I would probably vote for it,None of the above,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working
2445,I would vote for it,It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working | Only the people who need it most should get something from the state
2446,I would vote for it,It creates more equality of opportunity | It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
2447,I would probably vote against it,None of the above,It might encourage people to stop working | It is impossible to finance | Only the people who need it most should get something from the state
2448,I would vote for it,"It creates more equality of opportunity | It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility | It reduces bureaucracy and administrative expenses",None of the above
2449,I would probably vote for it,It reduces anxiety about financing basic needs,It is impossible to finance
2450,I would probably vote for it,None of the above,Foreigners might come to my country and take advantage of the benefit
2451,I would probably vote for it,It creates more equality of opportunity,Only the people who need it most should get something from the state
2452,I would probably vote against it,It creates more equality of opportunity,It might encourage people to stop working
2453,I would not vote,None of the above,None of the above
2454,I would vote for it,"It reduces bureaucracy and administrative expenses | It creates more equality of opportunity | It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone",It is impossible to finance | It is against the principle of linking merit and reward
2455,I would probably vote against it,It reduces anxiety about financing basic needs,It increases dependence on the state
2456,I would vote for it,It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state
2457,I would vote for it,"It increases solidarity, because it is funded by everyone",Only the people who need it most should get something from the state
2458,I would probably vote for it,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit
2459,I would vote for it,It reduces anxiety about financing basic needs,None of the above
2460,I would vote against it,"It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs",It might encourage people to stop working | It increases dependence on the state | It is impossible to finance | Only the people who need it most should get something from the state | It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit
2461,I would vote against it,None of the above,It is against the principle of linking merit and reward | It might encourage people to stop working | Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It increases dependence on the state
2462,I would vote for it,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone | It encourages financial independence and self-responsibility",It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit | It is impossible to finance
2463,I would probably vote for it,It creates more equality of opportunity,It is against the principle of linking merit and reward
2464,I would probably vote against it,None of the above,Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state | It increases dependence on the state | It is against the principle of linking merit and reward | It might encourage people to stop working
2465,I would probably vote for it,It encourages financial independence and self-responsibility,It is impossible to finance
2466,I would probably vote for it,It reduces anxiety about financing basic needs,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state
2467,I would vote for it,"It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone | It encourages financial independence and self-responsibility",None of the above
2468,I would vote for it,"It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering | It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It encourages financial independence and self-responsibility",It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | Only the people who need it most should get something from the state | It increases dependence on the state | It is against the principle of linking merit and reward
2469,I would vote for it,It reduces anxiety about financing basic needs | It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance
2470,I would vote for it,"It creates more equality of opportunity | It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",It is against the principle of linking merit and reward | Only the people who need it most should get something from the state | It might encourage people to stop working | It is impossible to finance
2471,I would probably vote for it,It reduces anxiety about financing basic needs,It might encourage people to stop working
2472,I would vote for it,"It increases solidarity, because it is funded by everyone",It increases dependence on the state
2473,I would probably vote against it,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases solidarity, because it is funded by everyone",It is against the principle of linking merit and reward | Only the people who need it most should get something from the state | It might encourage people to stop working
2474,I would probably vote for it,"It increases solidarity, because it is funded by everyone",It increases dependence on the state
2475,I would vote for it,It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward | It might encourage people to stop working | It is impossible to finance | It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit
2476,I would vote for it,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",Only the people who need it most should get something from the state
2477,I would probably vote against it,It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state | It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward
2478,I would vote for it,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance
2479,I would probably vote for it,None of the above,None of the above
2480,I would probably vote for it,None of the above,It might encourage people to stop working
2481,I would probably vote for it,It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering,It increases dependence on the state | Only the people who need it most should get something from the state
2482,I would probably vote for it,It reduces anxiety about financing basic needs,It is impossible to finance
2483,I would vote for it,It encourages financial independence and self-responsibility | It creates more equality of opportunity | It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state
2484,I would probably vote for it,It encourages financial independence and self-responsibility,Foreigners might come to my country and take advantage of the benefit
2485,I would probably vote against it,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It might encourage people to stop working | It is against the principle of linking merit and reward | It increases dependence on the state | Only the people who need it most should get something from the state
2486,I would vote for it,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working
2487,I would probably vote for it,It reduces anxiety about financing basic needs | It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | It might encourage people to stop working
2488,I would vote for it,It creates more equality of opportunity,Only the people who need it most should get something from the state
2489,I would vote for it,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit
2490,I would probably vote for it,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases solidarity, because it is funded by everyone",It is impossible to finance | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward
2491,I would probably vote for it,"It creates more equality of opportunity | It increases solidarity, because it is funded by everyone",It is against the principle of linking merit and reward | It might encourage people to stop working | It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit
2492,I would probably vote for it,It reduces anxiety about financing basic needs,It might encourage people to stop working
2493,I would vote for it,It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state
2494,I would probably vote for it,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,It might encourage people to stop working | It is impossible to finance
2495,I would probably vote for it,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit
2496,I would probably vote against it,None of the above,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward
2497,I would probably vote for it,It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility,None of the above
2498,I would vote for it,It creates more equality of opportunity,Only the people who need it most should get something from the state
2499,I would not vote,None of the above,None of the above
2500,I would probably vote for it,None of the above,None of the above
2501,I would vote for it,"It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering",It increases dependence on the state | Only the people who need it most should get something from the state
2502,I would vote for it,"It increases solidarity, because it is funded by everyone | It creates more equality of opportunity",It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
2503,I would vote for it,It creates more equality of opportunity,Only the people who need it most should get something from the state
2504,I would probably vote for it,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state | It is impossible to finance
2505,I would vote for it,"It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering | It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It encourages financial independence and self-responsibility",Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working
2506,I would probably vote against it,None of the above,It is impossible to finance
2507,I would probably vote for it,"It increases solidarity, because it is funded by everyone",Only the people who need it most should get something from the state | It increases dependence on the state
2508,I would vote for it,"It creates more equality of opportunity | It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering | It reduces bureaucracy and administrative expenses",None of the above
2509,I would vote for it,It creates more equality of opportunity | It increases appreciation for household work and volunteering,It increases dependence on the state | It might encourage people to stop working | It is against the principle of linking merit and reward
2510,I would probably vote for it,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering",It is impossible to finance | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
2511,I would vote for it,"It increases solidarity, because it is funded by everyone | It creates more equality of opportunity",None of the above
2512,I would vote for it,"It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone",Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit
2513,I would probably vote against it,None of the above,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | Only the people who need it most should get something from the state | It increases dependence on the state | It is against the principle of linking merit and reward
2514,I would probably vote against it,None of the above,Only the people who need it most should get something from the state | It is impossible to finance | It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working
2515,I would vote for it,It reduces anxiety about financing basic needs | It creates more equality of opportunity,It is impossible to finance | It might encourage people to stop working
2516,I would vote for it,"It increases solidarity, because it is funded by everyone",It is impossible to finance
2517,I would probably vote for it,It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance
2518,I would probably vote for it,It reduces anxiety about financing basic needs,It increases dependence on the state
2519,I would vote for it,It reduces bureaucracy and administrative expenses | It reduces anxiety about financing basic needs | It creates more equality of opportunity,It is impossible to finance | It might encourage people to stop working | It is against the principle of linking merit and reward | It increases dependence on the state
2520,I would probably vote against it,None of the above,It might encourage people to stop working | It is impossible to finance
2521,I would vote against it,It reduces anxiety about financing basic needs,It is impossible to finance
2522,I would probably vote for it,It reduces anxiety about financing basic needs | It creates more equality of opportunity,It is impossible to finance | It increases dependence on the state | Only the people who need it most should get something from the state
2523,I would probably vote for it,"It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone",It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
2524,I would probably vote against it,It reduces anxiety about financing basic needs | It creates more equality of opportunity,Only the people who need it most should get something from the state | It might encourage people to stop working | It is impossible to finance
2525,I would vote for it,"It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering",Foreigners might come to my country and take advantage of the benefit
2526,I would probably vote against it,It reduces anxiety about financing basic needs,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
2527,I would probably vote for it,It reduces anxiety about financing basic needs,It increases dependence on the state
2528,I would probably vote against it,None of the above,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It is impossible to finance
2529,I would vote for it,It reduces bureaucracy and administrative expenses,It might encourage people to stop working | It increases dependence on the state | Only the people who need it most should get something from the state
2530,I would vote for it,"It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility",It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
2531,I would probably vote against it,None of the above,It is impossible to finance | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state
2532,I would probably vote for it,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",It is impossible to finance | It might encourage people to stop working | Only the people who need it most should get something from the state
2533,I would probably vote for it,It encourages financial independence and self-responsibility,It is impossible to finance
2534,I would vote for it,It reduces anxiety about financing basic needs | It creates more equality of opportunity,It might encourage people to stop working
2535,I would probably vote for it,It reduces anxiety about financing basic needs,It might encourage people to stop working | It increases dependence on the state | It is impossible to finance | Only the people who need it most should get something from the state
2536,I would probably vote against it,It increases appreciation for household work and volunteering,It is impossible to finance | It might encourage people to stop working | Only the people who need it most should get something from the state
2537,I would probably vote for it,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It might encourage people to stop working | It increases dependence on the state | It is impossible to finance
2538,I would vote for it,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",It is impossible to finance | It might encourage people to stop working | Only the people who need it most should get something from the state | It increases dependence on the state
2539,I would probably vote against it,None of the above,Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It might encourage people to stop working
2540,I would probably vote for it,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering",None of the above
2541,I would vote for it,It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state
2542,I would vote for it,"It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit
2543,I would probably vote against it,None of the above,It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
2544,I would probably vote for it,It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit
2545,I would vote for it,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering",It might encourage people to stop working | It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state
2546,I would probably vote against it,None of the above,None of the above
2547,I would not vote,It reduces bureaucracy and administrative expenses,It might encourage people to stop working
2548,I would vote for it,It creates more equality of opportunity | It encourages financial independence and self-responsibility,It might encourage people to stop working | Only the people who need it most should get something from the state
2549,I would vote for it,It encourages financial independence and self-responsibility,None of the above
2550,I would not vote,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit
2551,I would probably vote against it,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward
2552,I would vote for it,It reduces bureaucracy and administrative expenses,It is against the principle of linking merit and reward
2553,I would probably vote for it,It reduces anxiety about financing basic needs,It might encourage people to stop working
2554,I would vote for it,"It creates more equality of opportunity | It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone",It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
2555,I would not vote,It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility,It is against the principle of linking merit and reward
2556,I would vote for it,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases solidarity, because it is funded by everyone",Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit
2557,I would vote for it,It creates more equality of opportunity | It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs,None of the above
2558,I would probably vote for it,"It increases solidarity, because it is funded by everyone",Only the people who need it most should get something from the state
2559,I would vote for it,It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state
2560,I would probably vote for it,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,It is impossible to finance | Only the people who need it most should get something from the state | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
2561,I would not vote,None of the above,None of the above
2562,I would probably vote for it,"It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs",Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | Only the people who need it most should get something from the state
2563,I would vote against it,None of the above,It might encourage people to stop working
2564,I would probably vote against it,It encourages financial independence and self-responsibility | It reduces bureaucracy and administrative expenses | It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward
2565,I would vote for it,It creates more equality of opportunity,Only the people who need it most should get something from the state
2566,I would probably vote for it,"It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs",It might encourage people to stop working | It increases dependence on the state | Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit
2567,I would vote for it,It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state
2568,I would vote for it,It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state
2569,I would vote against it,None of the above,It is against the principle of linking merit and reward | It is impossible to finance | It increases dependence on the state
2570,I would vote against it,It encourages financial independence and self-responsibility,It is against the principle of linking merit and reward | Only the people who need it most should get something from the state | It increases dependence on the state | It might encourage people to stop working | It is impossible to finance
2571,I would vote for it,It creates more equality of opportunity,It is impossible to finance
2572,I would vote for it,It encourages financial independence and self-responsibility,It might encourage people to stop working
2573,I would probably vote for it,None of the above,Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state | It is impossible to finance
2574,I would probably vote against it,It creates more equality of opportunity,It might encourage people to stop working
2575,I would vote for it,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",It might encourage people to stop working | Only the people who need it most should get something from the state
2576,I would probably vote for it,"It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering",It might encourage people to stop working | It increases dependence on the state
2577,I would probably vote for it,None of the above,It might encourage people to stop working
2578,I would not vote,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering,It is impossible to finance | Only the people who need it most should get something from the state
2579,I would vote for it,It reduces anxiety about financing basic needs,It is impossible to finance
2580,I would probably vote for it,It increases appreciation for household work and volunteering,It might encourage people to stop working
2581,I would vote for it,It creates more equality of opportunity | It reduces anxiety about financing basic needs,It might encourage people to stop working
2582,I would vote for it,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases solidarity, because it is funded by everyone",None of the above
2583,I would vote for it,It creates more equality of opportunity,None of the above
2584,I would vote for it,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,Foreigners might come to my country and take advantage of the benefit
2585,I would probably vote against it,"It increases solidarity, because it is funded by everyone",It is impossible to finance | It is against the principle of linking merit and reward | It might encourage people to stop working | It increases dependence on the state
2586,I would vote for it,It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit
2587,I would not vote,None of the above,None of the above
2588,I would vote for it,It encourages financial independence and self-responsibility,Only the people who need it most should get something from the state
2589,I would not vote,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit
2590,I would vote for it,It creates more equality of opportunity,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
2591,I would vote for it,"It creates more equality of opportunity | It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone",It might encourage people to stop working | Only the people who need it most should get something from the state
2592,I would probably vote for it,It creates more equality of opportunity,It is impossible to finance | It increases dependence on the state | It might encourage people to stop working | Only the people who need it most should get something from the state
2593,I would probably vote for it,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state
2594,I would probably vote for it,It reduces anxiety about financing basic needs,It is impossible to finance
2595,I would vote against it,It reduces anxiety about financing basic needs | It creates more equality of opportunity,It is impossible to finance | Only the people who need it most should get something from the state | It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit
2596,I would vote for it,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering",None of the above
2597,I would vote for it,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases solidarity, because it is funded by everyone",Only the people who need it most should get something from the state | It might encourage people to stop working
2598,I would vote against it,None of the above,It is impossible to finance
2599,I would probably vote for it,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,It is impossible to finance | It might encourage people to stop working | Only the people who need it most should get something from the state | It increases dependence on the state
2600,I would vote against it,None of the above,Only the people who need it most should get something from the state
2601,I would vote for it,None of the above,Foreigners might come to my country and take advantage of the benefit
2602,I would probably vote for it,It encourages financial independence and self-responsibility,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state | It increases dependence on the state
2603,I would probably vote for it,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering",It might encourage people to stop working | Only the people who need it most should get something from the state | It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit
2604,I would vote against it,It creates more equality of opportunity,It is against the principle of linking merit and reward | It is impossible to finance | It might encourage people to stop working
